id,title,author
Q17017537,Darkest Mercy,Melissa Marr
Q7758496,The Program,Gregg Hurwitz
Q6992413,Brideshead Revisited,Evelyn Waugh
Q1473891,Abhorsen,Garth Nix
Q7576367,Sperm Wars,Robin Baker
Q7115312,Oxford Dictionary of Saints,David Hugh Farmer
Q7740888,The Human Use of Human Beings,Norbert Wiener
Q4658518,A New Lease of Death,Ruth Rendell
Q5243363,Days of Atonement,Michael Gregorio
Q7761599,The Rottweiler,Ruth Rendell
Q5491492,Franklin Evans,Walt Whitman
Q7561595,Songs of the Great Dominion,
Q5985110,Icarus at the Edge of Time,Brian Greene
Q13164900,A revolution is not a dinner party,
Q1090238,Counter-Clock World,Philip K. Dick
Q5281119,Dirty White Boys,Stephen Hunter
Q4747544,Among the Believers,V. S. Naipaul
Q264571,Lord Loss,Darren O'Shaughnessy
Q676256,The Warrior's Apprentice,Lois McMaster Bujold
Q1204611,Storyteller,
Q5918795,How to Talk Dirty and Influence People,Lenny Bruce
Q3202885,The Centurion's Empire,Sean McMullen
