id,title,author
Q1000177,Die Musterschüler,Michael Köhlmeier
Q1001035,A Buddhist catechism,Henry Steel Olcott
Q1001210,Heartland,Feridun Zaimoğlu
Q100146194,A Grey Man,Choi In-hun
Q100146661,Democracy in Chains,Nancy MacLean
Q100151586,Aitaren etxea,Karmele Jaio
Q100151661,Un millon de ostras en lo alto de la montaña,Alex Nogués
Q100202821,Cuba for Beginners,Rius
Q100221747,"Promise Me, Dad",Joe Biden
Q100231196,Chicago,David Mamet
Q100234612,"80,000 Hours",Benjamin J. Todd
Q100235784,The Melody,Jim Crace
Q1002362,The Signal-Man,Charles Dickens
Q1002362,The Signal-Man,Tuputamadre
Q100242173,The Great Believers,Rebecca Makkai
Q100242461,The Shepherd’s Hut,Tim Winton
Q100242887,Life in the Garden,Penelope Lively
Q100243006,Old in Art School: A Memoir of Starting Over,Nell Irvin Painter
Q100243104,The Good Mothers,Alex Perry
Q100243564,Frenemies,Ken Auletta
Q100243715,Room to Dream,David Lynch
Q100243715,Room to Dream,Kristine McKenna
Q100243860,Tyrant: Shakespeare on Politics,Stephen Greenblatt
Q100244193,Find You in the Dark,Nathan Ripley
Q100245005,Tell the Machine Goodnight,Katie Williams
Q100248940,Thunderhead,Mary O'Hara
Q100250264,The Tangled Tree: A Radical New History of Life,David Quammen
Q100251860,"Work Hard, Study ... and Keep out of Politics! Adventures and Lessons from an Unexpected Public Life",James Baker
Q100251861,Desert Diplomat: Inside Saudi Arabia Following 9/11,Robert W. Jordan
Q100257724,Switch: How to Change Things When Change Is Hard,Chip Heath
Q100257724,Switch: How to Change Things When Change Is Hard,Dan Heath
Q100261482,Mrs. Fletcher,Tom Perrotta
Q100263902,Indiana Jones and the Genesis Deluge,Rob MacGregor
Q100263968,Indiana Jones and the Unicorn's Legacy,Rob MacGregor
Q100264023,Indiana Jones and the Interior World,Rob MacGregor
Q100264126,Indiana Jones and the Sky Pirates,Martin Caidin
Q100264184,Indiana Jones and the White Witch,Martin Caidin
Q100264255,Indiana Jones and the Dinosaur Eggs,Max McCoy
Q100264684,Indiana Jones and the Hollow Earth,Max McCoy
Q100264768,Indiana Jones and the Secret of the Sphinx,Max McCoy
Q100264912,Indiana Jones and the Army of the Dead,Steve Perry
Q100269370,"The Women's Suffrage Movement: A Reference Guide, 1866-1928",Elizabeth Crawford
Q100270444,Panic in a Suitcase,Jelena Ahtjorskaja
Q100272515,Blood Kin,Ceridwen Dovey
Q100272560,The Farther Shore,Matthew Eck
Q100272644,Petropolis,Anya Ulinich
Q100272787,Unfollow: A Memoir of Loving and Leaving the Westboro Baptist Church,Megan Phelps-Roper
Q100274026,The French Atlantic Affair,Ernest Lehman
Q100275339,"Robbi, Tobbi und das Fliewatüüt",Boy Lornsen
Q100299874,Indiana Jones and the Curse of Horror Island,R. L. Stine
Q100299902,Indiana Jones and the Lost Treasure of Sheba,Rose Estes
Q100299904,Indiana Jones and the Giants of the Silver Tower,R. L. Stine
Q100299908,Indiana Jones and the Cup of the Vampire,Andy Helfer
Q100299911,Indiana Jones and the Cult of the Mummy's Crypt,R. L. Stine
Q100299918,"James Bond in Win, Place, or Die",R. L. Stine
Q100299920,James Bond in Strike it Deadly,Scott Siegel
Q100299920,James Bond in Strike it Deadly,Barbara Siegel
Q100299927,Indiana Jones and the Ape Slaves of Howling Island,R. L. Stine
Q100309902,The Englishman's Boy,Guy Vanderhaeghe
Q100313944,Warped,Mike McMahan
Q100315728,Poor Man's Orange,Ruth Park
Q100319925,White,Bret Easton Ellis
Q100320067,Sovietistan,Erika Fatland
Q100320299,The State of Affairs: Rethinking Infidelity,Esther Perel
Q100320626,One Billion Americans: The Case for Thinking Bigger,Matthew Yglesias
Q100323028,Indiana Jones and the Pyramid of the Sorcerer,Ryder Windham
Q100323029,Indiana Jones and the Mystery of Mount Sinai,J. W. Rinzler
Q1003234,The Goal,Eliyahu M. Goldratt
Q100324154,The Golden Globe,Nancy Richardson
Q100324156,Lyric's World,Nancy Richardson
Q100324158,Promises,Nancy Richardson
Q100324163,Vader's Fortress,Rebecca Moesta
Q100324164,Kenobi's Blade,Rebecca Moesta
Q100324165,Anakin's Quest,Rebecca Moesta
Q100324275,The Death of Jesus,J. M. Coetzee
Q100324306,Fair Warning,Michael Connelly
Q100324365,Home Before Dark,Todd Ritter
Q100328625,The Three Halves of Ino Moxo: Teachings of the Wizard of the Upper Amazon,César Calvo
Q100328682,Di brider Ashkenazi,Israel Joshua Singer
Q100328963,Wizard of the Upper Amazon: The Story of Manuel Córdova-Rios,F. Bruce Lamb
Q100329010,Caste: The Origins of Our Discontents,Isabel Wilkerson
Q100329193,Jack,Marilynne Robinson
