id,title,director
Q2672175,Stand-In,Tay Garnett
Q6961976,Namo Venkatesa,Srinu Vaitla
Q5129555,Claustrophobia,Mark Tapio Kines
Q570221,"Reuben, Reuben",Robert Ellis Miller
Q3502702,Suburban Secrets,Joseph W. Sarno
Q1983951,"Papa, maman, ma femme et moi",Jean-Paul Le Chanois
Q1294711,The Gorgeous Hussy,Clarence Brown
Q632718,Crossfire,Edward Dmytryk
Q5372517,Emir,Chito S. Roño
Q4832493,Azhagar Malai,S. P. Rajkumar
Q4127274,Everybody Wants to Be Italian,Jason Todd Ipson
Q7929319,Vijaypath,Farogh Siddique
Q5352401,El crack,José Luis Garci
Q6358749,Kamli,K. N. T. Sastry
Q4921036,Black Irish,Brad Gann
Q7758894,The Quarrel,Eli Cohen
Q5227709,Zatoichi on the Road,Kimiyoshi Yasuda
Q16774884,Dead of Winter,
Q4749729,An Adventure in Space and Time,Terry McDonough
Q6945251,My Dear Marthandan,Prathap K. Pothan
Q1270632,After Stonewall,John Scagliotti
Q7367373,Rosario,Miguel Zacarías
Q3232718,The Gay Sisters,Irving Rapper
Q6470185,Lady Gangster,Robert Florey
Q584057,Free Willy 2: The Adventure Home,Dwight H. Little
Q4976538,Brownies,Hanung Bramantyo
Q4031261,4.3.2.1,Noel Clarke
Q309621,The Mask of Zorro,Martin Campbell
Q2819612,AYA,
Q4682851,Adimai Penn,K. Shankar
Q5099826,China O'Brien II,Robert Clouse
Q383844,Rollerball,John McTiernan
Q535295,"Brutti, sporchi e cattivi",Ettore Scola
