id,title,director
Q1000094,You're Dead,Andy Hurst
Q1000174,Tinko,Herbert Ballmann
Q1000394,This Modern Age,Nick Grinde
Q10005695,Happy Journey,Sachin Kundalkar
Q100057542,The Two Sights,Joshua Bonnetta
Q10007277,"Pacho, hybský zbojník",Martin Ťapák
Q1000825,Jan Dara,Nonzee Nimibutr
Q1000826,Guns of the Magnificent Seven,Paul Wendkos
Q1001102,The Rat Savior,Krsto Papić
Q100138177,Huracán Ramírez y la monjita negra,Joselito Rodríguez
Q100138178,La venganza de Huracán Ramírez,Joselito Rodríguez
Q100138224,De sangre chicana,Joselito Rodríguez
Q1001400,Ukraine on Fire,Igor Lopatonok
Q1001400,Ukraine on Fire,Ben Bywater
Q100144834,Dark Manhattan,Harry L. Fraser
Q100145643,"Wandering, A Rohingya Story",Mélanie Carrier
Q100145643,"Wandering, A Rohingya Story",Olivier Higgins
Q100145755,The Free Ones,Nicolas Lévesque
Q100145760,Passages,Florence Pelletier
Q100145760,Passages,Caroline Côté
Q100145860,The Man with Hare Ears,Martin Šulík
Q100146136,EuroClub,Ali Zamani
Q100146309,Neuner,Werner Masten
Q100148075,Kasala (film),Emamode Edosio
Q100156151,Made in Abyss: Dawn of the Deep Soul,Masayuki Kojima
Q100156260,Freaks Out,Gabriele Mainetti
Q100157919,His Darker Self,John W. Noble
Q100157933,My Name is Clitoris,Daphné Leblond
Q1001759,Fist of Legend,Yuen Woo-ping
Q1001759,Fist of Legend,Gordon Chan
Q1001777,Moondram Pirai,Balu Mahendra
Q1001863,Chronicle of an Escape,Adrián Caetano
Q1001922,Buffalo Bill in Rome,Giuseppe Accattino
Q1001943,"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",Robert Altman
Q1002100,Miracle at St. Anna,Spike Lee
Q1002114,Bufferin,Andy Warhol
Q1002251,Bug,William Friedkin
Q100232971,What We Wanted,Ulrike Kofler
Q1002480,Wanted: Dead or Alive (1987 film),Gary Sherman
Q1002495,What Remains of Us,Hugo Latulippe
