id_l,name_l,id_r,name_r
http://www.wikidata.org/entity/Q1006478,Aksu Airport,node1fm7c5s7cx84824289,Aksu Airport
http://www.wikidata.org/entity/Q1006900,Mohe Gulian Airport,node1fm28sdgdx16024695,Gu-Lian Airport
http://www.wikidata.org/entity/Q1014270,Quzhou Airport,node1fltop63mx37788348,Quzhou Airport
http://www.wikidata.org/entity/Q1014276,Taizhou Luqiao Airport,node1flu5gs4ax11042693,Huangyan Luqiao Airport
http://www.wikidata.org/entity/Q1016960,Odate-Noshiro Airport,node1fm7c5o2gx90753377,Odate-Noshiro Airport
http://www.wikidata.org/entity/Q1018047,Hulunbuir Hailar Airport,node1flu99up2x648188,Hailar Dongshan Airport
http://www.wikidata.org/entity/Q1018047,Hulunbuir Hailar Airport,node1flvnj5rgx4787993,Hulunbuir Hailar
http://www.wikidata.org/entity/Q1018059,Tongliao Airport,node1fltibov8x42344029,Tongliao Airport
http://www.wikidata.org/entity/Q1018059,Tongliao Airport,node1fltlnsi4x32191565,Tongliao Airport
http://www.wikidata.org/entity/Q1018059,Tongliao Airport,node1fltoorcnx26966890,Tongliao Airport
http://www.wikidata.org/entity/Q1018059,Tongliao Airport,node1fm7c5uomx74545754,Tongliao Airport
http://www.wikidata.org/entity/Q1019284,Sado Airport,node1fltlos1ux5913556,Sado Airport
http://www.wikidata.org/entity/Q1019286,Ankang Wulipu Airport,node1fltlor58x32230052,Ankang Airport
http://www.wikidata.org/entity/Q1019286,Ankang Wulipu Airport,node1fltoou5fx21449094,Ankang Airport
http://www.wikidata.org/entity/Q1019286,Ankang Wulipu Airport,node1fm5jso9ex36858188,Ankang Airport
http://www.wikidata.org/entity/Q1019286,Ankang Wulipu Airport,node1fm7c5n22x92888044,Ankang Airport
http://www.wikidata.org/entity/Q1019297,Tongren Fenghuang Airport,node1fm28u3phx20776225,Tongren Daxing Airport
http://www.wikidata.org/entity/Q1022397,Maputo International Airport,node1flvnjktvx91988799,Maputo Airport (MPM)
http://www.wikidata.org/entity/Q1028335,Hendrik Van Eck Airport,node1fltop63mx122836357,Hendrik Van Eck Airport
http://www.wikidata.org/entity/Q1029543,Marana Regional Airport,node1fm5jsne5x44312065,Marana Regional Airport
http://www.wikidata.org/entity/Q1029695,Marine Corps Air Facility Quantico,node1fltibrgax58935829,MCAF Quantico (Turner Field)
http://www.wikidata.org/entity/Q1029695,Marine Corps Air Facility Quantico,node1flvnjhd6x107204935,Quantico Mcaf
http://www.wikidata.org/entity/Q1029871,Camp Mackall,node1fltopd4cx117789823,Mackall Army Airfield
http://www.wikidata.org/entity/Q1029948,Marina Municipal Airport,node1fm28u7i4x21142390,Marina Municipal Airport
http://www.wikidata.org/entity/Q1030285,Mardin Airport,node1fm28u0h2x43364355,Mardin Airport (MQM)
http://www.wikidata.org/entity/Q1030285,Mardin Airport,node1fm7c5nb8x79271446,Mardin Airport
http://www.wikidata.org/entity/Q1030716,Marau Airport,node1fm19d86nx52920173,Marau Airport
http://www.wikidata.org/entity/Q1030889,Maringá Regional Airport,node1fltlokhex94523140,Maringá - Sílvio Name Júnior Regional Airport
http://www.wikidata.org/entity/Q1030919,Marechal Rondon International Airport,node1fm00fdr7x86870530,Marechal Rondon Intl
http://www.wikidata.org/entity/Q1031400,Maria Reiche Neuman Airport,node1fm19e3jjx76700096,Maria Reiche Neuman Airport
http://www.wikidata.org/entity/Q1031433,Mao Airport,node1fm19d5v5x5603338,Mao Airport
http://www.wikidata.org/entity/Q1031433,Mao Airport,node1fm19dbqpx11179074,Mao Airport
http://www.wikidata.org/entity/Q1031433,Mao Airport,node1fm28ttkgx67754729,Mao Airport
http://www.wikidata.org/entity/Q1031433,Mao Airport,node1fm5jskdfx717118,Mao Airport
http://www.wikidata.org/entity/Q1031433,Mao Airport,node1fm5jsosbx45460005,Mao Airport
http://www.wikidata.org/entity/Q1031434,Mariana Grajales Airport,node1fm19d10vx123285034,Los Canos
http://www.wikidata.org/entity/Q1031590,Mariehamn Airport,node1fm5018vcx71093371,Mariehamn Airport
http://www.wikidata.org/entity/Q1031829,March Air Reserve Base,node1fltootkjx37499075,March ARB
http://www.wikidata.org/entity/Q1031829,March Air Reserve Base,node1fm00fbr5x18229091,March Airbase
http://www.wikidata.org/entity/Q1031829,March Air Reserve Base,node1fm28u2kix43042443,March ARB
http://www.wikidata.org/entity/Q1032134,CFB Shearwater,node1fltlogv1x92415310,Halifax/Shearwater Airport
http://www.wikidata.org/entity/Q1032934,Halim Perdanakusuma Airport,node1fltlo507x114829522,Halim Perdanakusuma
http://www.wikidata.org/entity/Q1032934,Halim Perdanakusuma Airport,node1flvnjgb2x118390435,Halim Perdanakusuma International Airport
http://www.wikidata.org/entity/Q1033097,Canefield Airport,node1fm28u6ltx15830076,Canefield Airport
http://www.wikidata.org/entity/Q1043277,Tenzing-Hillary Airport,node1fm19dbqpx52443337,Tenzing–Hillary Airport
http://www.wikidata.org/entity/Q1043631,Murtala Muhammed International Airport,node1fltlokhex110351177,Murtala Mohammed International Airport
http://www.wikidata.org/entity/Q1043631,Murtala Muhammed International Airport,node1fltop7vpx127713432,Murtala Muhammed
http://www.wikidata.org/entity/Q1046748,Osaka International Airport,node1fm0j54epx6905229,Osaka International Airport
http://www.wikidata.org/entity/Q1046755,Don Mueang International Airport,node1fm00fkchx88420591,Don Mueang Intl
http://www.wikidata.org/entity/Q1046755,Don Mueang International Airport,node1fm28u0vgx11091346,Don Mueang International Airport
http://www.wikidata.org/entity/Q1049719,Faa'a International Airport,node1fltop2cpx637990,Faa'a International Airport
http://www.wikidata.org/entity/Q1049719,Faa'a International Airport,node1flvnjb16x27343839,Tahiti Faa'a Intl
http://www.wikidata.org/entity/Q1050244,Khartoum International Airport,node1fm7c5i5vx73909777,Khartoum International Airport
http://www.wikidata.org/entity/Q1050707,Paphos International Airport,node1fltlp97sx82807134,Paphos Airport (PFO)
http://www.wikidata.org/entity/Q1050707,Paphos International Airport,node1fm19d774x72741163,Paphos International Airport
http://www.wikidata.org/entity/Q1054163,Phnom Penh International Airport,node1fm19d41rx80856130,Pochentong International Airport
http://www.wikidata.org/entity/Q1054212,Albenga Airport-Riviera Airport,node1fm5018vcx109406152,Albenga Airport
http://www.wikidata.org/entity/Q1054212,Albenga Airport-Riviera Airport,node1fm7c5pbox54320171,Riviera
http://www.wikidata.org/entity/Q10543856,Karlskoga Airport,node1fm28uaahx43278235,Karlskoga Airport
http://www.wikidata.org/entity/Q1054472,Siem Reap International Airport,node1fltooqjhx113567254,Angkor International Airport
http://www.wikidata.org/entity/Q1054472,Siem Reap International Airport,node1fltoouulx115852164,Angkor International Airport
http://www.wikidata.org/entity/Q1054472,Siem Reap International Airport,node1fm28siovx33927295,Angkor International Airport
http://www.wikidata.org/entity/Q1054472,Siem Reap International Airport,node1fm28u4chx32945522,Angkor International Airport
http://www.wikidata.org/entity/Q1054472,Siem Reap International Airport,node1fm28u6fmx36404122,Angkor International Airport
http://www.wikidata.org/entity/Q1056589,Taranto-Grottaglie Airport,node1fm00f8mbx697502,Taranto / Grottaglie Airport
http://www.wikidata.org/entity/Q10576434,Manihiki Island Airport,node1fm28tv0lx36464788,Manihiki Island Airport
http://www.wikidata.org/entity/Q1060852,Jieyang Chaoshan Airport,node1fm5015scx58285706,Shantou Waisha Airport
http://www.wikidata.org/entity/Q1061330,Christchurch International Airport,node1fltloeg3x82920950,Christchurch Airport (CHC)
http://www.wikidata.org/entity/Q1061330,Christchurch International Airport,node1flvnjfq5x29170911,Christchurch International Airport
http://www.wikidata.org/entity/Q1061330,Christchurch International Airport,node1fm00f2l7x47537232,Christchurch International Airport
http://www.wikidata.org/entity/Q1061437,Chicago Midway International Airport,node1fltlovh8x95173380,Midway International Airport
http://www.wikidata.org/entity/Q1061437,Chicago Midway International Airport,node1fltop420x52838995,Chicago Midway Intl
http://www.wikidata.org/entity/Q1061437,Chicago Midway International Airport,node1flvnj5bux115708833,Chicago Midway Intl
http://www.wikidata.org/entity/Q1061437,Midway International Airport,node1fltlovh8x95173380,Midway International Airport
http://www.wikidata.org/entity/Q1061437,Midway International Airport,node1fltop420x52838995,Chicago Midway Intl
http://www.wikidata.org/entity/Q1061437,Midway International Airport,node1flvnj5bux115708833,Chicago Midway Intl
http://www.wikidata.org/entity/Q1061846,Ngurah Rai International Airport,node1flvnjcu1x56975575,Аэропорт Нгурах-Рай
http://www.wikidata.org/entity/Q1062308,Turin-Aeritalia Airport,node1fm5jt5lax44632372,Aeritalia
http://www.wikidata.org/entity/Q1062676,Las Américas International Airport,node1fltlpihhx53612620,Las Americas Intl
http://www.wikidata.org/entity/Q1062676,Las Américas International Airport,node1flvnj01sx69635871,Santo Domingo Airport
http://www.wikidata.org/entity/Q1062676,Las Américas International Airport,node1flvnjoe7x616485,Аэропорт Интернасьональ Лас Америкас
http://www.wikidata.org/entity/Q1065082,Chiang Mai International Airport,node1fm28u6ltx64270206,Аэропорт Чиангмая
http://www.wikidata.org/entity/Q10671305,Skövde Airport,node1fltopctkx42937980,Skövde Airport
http://www.wikidata.org/entity/Q1067405,Goroka Airport,node1fltlnrmex29565530,Goroka
http://www.wikidata.org/entity/Q1068685,Cluj International Airport,node1fltlnqgex57072691,Cluj-Napoca Airport (CLJ)
http://www.wikidata.org/entity/Q1071990,Chicago Rockford International Airport,node1fltp0a2tx41815286,Chicago Rockford Intl
http://www.wikidata.org/entity/Q1071990,Chicago Rockford International Airport,node1fm7c5lrqx85721868,Chicago Rockford Int. Airport (RFD)
http://www.wikidata.org/entity/Q1077892,Uzhhorod International Airport,node1fltlpnh2x43216273,Uzhhorod International Airport
http://www.wikidata.org/entity/Q1082907,Guyuan Liupanshan Airport,node1fm28schax40043856,Guyuan Liupanshan
http://www.wikidata.org/entity/Q10845636,Ukunda Airport,node1fm7rl9ltx11123308,Ukunda Airstrip
http://www.wikidata.org/entity/Q10849047,Machias Valley Airport,node1fm28u3cqx43206694,Machias Valley Airport
http://www.wikidata.org/entity/Q10849322,Robert J. Miller Air Park,node1fm7c5p8ux107011669,Robert J. Miller Air Park
http://www.wikidata.org/entity/Q10849494,Red Lodge Airport,node1fm19d10vx73053047,Red Lodge Airport
http://www.wikidata.org/entity/Q10850030,Smara Airport,node1fltlovlcx16394926,Smara Airport
http://www.wikidata.org/entity/Q10850860,Los Alamos County Airport,node1fm28siovx21263709,Los Alamos Airport
http://www.wikidata.org/entity/Q10850887,Newnan-Coweta County Airport,node1fm28uc01x33610355,Newnan Coweta County Airport
http://www.wikidata.org/entity/Q10851312,Rockwood Municipal Airport,node1fm28uaahx42683605,Rockwood Municipal Airport
http://www.wikidata.org/entity/Q10851475,Lamar Municipal Airport (Colorado),node1fm28sgmax6001152,Lamar Municipal Airport
http://www.wikidata.org/entity/Q10851492,Lumberton Municipal Airport,node1fltlo0fdx105876149,Lumberton Municipal Airport
http://www.wikidata.org/entity/Q10851659,Warsaw Municipal Airport (Missouri),node1fm7rl9ltx39247479,Warsaw Municipal Airport
http://www.wikidata.org/entity/Q10851681,Worland Municipal Airport,node1fltlo0l5x108388932,Worland Municipal Airport
http://www.wikidata.org/entity/Q10851748,Princeton Municipal Airport (Maine),node1fm28skmpx689091,Princeton Municipal Airport (Maine)
http://www.wikidata.org/entity/Q10851768,Potsdam Municipal Airport,node1fltlor58x11041596,Potsdam Municipal Airport (Damon Field)
http://www.wikidata.org/entity/Q10852272,Phillips Army Airfield,node1fm7c5uomx45249250,Phillips Army Airfield
http://www.wikidata.org/entity/Q10852431,Pearson Field,node1fltlnsqsx89038900,Pearson Field
