id,name
Q1000018,Jinggangshan Airport
Q1000025,Changde Taohuayuan Airport
Q1002604,Jiujiang Lushan Airport
Q1006478,Aksu Airport
Q1006900,Mohe Gulian Airport
Q100934269,Surbung Airport
Q1013770,Dehong Mangshi Airport
Q1014250,Panzhihua Bao'anying Airport
Q1014270,Quzhou Airport
Q1014276,Taizhou Luqiao Airport
Q1014302,Wenshan Puzhehei Airport
Q1014907,Vernon Regional Airport
Q1015291,Luzhou Lantian Airport
Q1016960,Odate-Noshiro Airport
Q1017617,Yuncheng Guangong Airport
Q1018047,Hulunbuir Hailar Airport
Q1018053,Xilinhot Airport
Q1018059,Tongliao Airport
Q1018757,Ojika Airport
Q1018774,Weifang Airport
Q1018789,Datong Yungang Airport
Q1019284,Sado Airport
Q1019286,Ankang Wulipu Airport
Q1019297,Tongren Fenghuang Airport
Q1019317,Zhongwei Shapotou Airport
Q1019333,Jinzhou Xiaolingzi Airport
Q1022397,Maputo International Airport
Q1023536,Kėdainiai
Q1023557,Jonava Airport
Q1025454,Jackson-Evers International Airport
Q10266042,Mapel Airstrip
Q1027520,Mafikeng Airport
Q1027555,Upington Airport
Q1027561,Dikhil Airport
Q1028335,Hendrik Van Eck Airport
Q1028672,Cameron Airpark
Q1029543,Marana Regional Airport
Q1029695,Marine Corps Air Facility Quantico
Q1029739,Marin County Airport
Q1029749,Marianna Municipal Airport
Q1029760,Marine Corps Air Station Kaneohe Bay
Q1029871,Camp Mackall
Q1029924,Marco Fidel Suárez Air Base
Q1029948,Marina Municipal Airport
Q1029984,Mara Serena Airport
Q1030285,Mardin Airport
Q1030389,Iwakuni Air Base
Q1030420,Qabala Airport
Q1030536,Marie Louise Island Airport
Q1030546,Maota Airport
Q1030569,Marie-Galante Airport
Q1030578,Margaret Ekpo International Airport
Q1030646,Campbeltown Airport
Q1030705,Maridi Airport
Q1030716,Marau Airport
Q1030725,Maribor Edvard Rusjan Airport
Q1030731,Marine Corps Outlying Field Camp Davis
Q1030738,Marine Corps Air Station New River
Q1030782,Marine Corps Air Station Santa Barbara
Q1030792,Maricá Airport
Q1030802,Maple Lake Municipal Airport
Q1030846,Marble Canyon Airport
Q1030854,Marinduque Airport
Q1030889,Maringá Regional Airport
Q1030902,Marília Airport
Q1030915,Maquehue Airport
Q1030919,Marechal Rondon International Airport
Q1031006,Maple Creek Airport
Q1031022,Marek Farms Airport
Q1031032,Margaree Airport
Q1031046,Marathon Aerodrome
Q1031195,Marco Island Airport
Q1031208,Mareeba Airfield
Q1031234,Marcy Field
Q1031288,Maple Airport
Q1031367,Marden Airfield
Q1031400,Maria Reiche Neuman Airport
Q1031433,Mao Airport
Q1031434,Mariana Grajales Airport
Q1031474,Margate Airport
Q1031517,Maria Cristina Airport
Q1031540,Margaret Lake Airport
Q1031590,Mariehamn Airport
Q1031812,Wau Airport
Q1031829,March Air Reserve Base
Q1032134,CFB Shearwater
Q1032227,Santa Maria Airport
Q1032934,Halim Perdanakusuma Airport
Q1033097,Canefield Airport
Q1034428,Cape Girardeau Regional Airport
Q1035011,Christmas Island Airport
Q1038664,Iki Airport
Q10418979,Arvika Airport
Q10431979,Boden Heliport
Q1043277,Tenzing-Hillary Airport
Q10433395,Borås Airport
Q10434726,Brandholmen Airport
Q1043631,Murtala Muhammed International Airport
