id,name
node1fltibbuex11080994,Stillwater Regional Airport
node1fltibbuex11265996,Korla Airport
node1fltibbuex11287985,Capital City Airport
node1fltibbuex14168489,Dusseldorf Airport
node1fltibbuex21538496,Safford Regional Airport
node1fltibbuex21775573,Boma Airport
node1fltibbuex22023382,Pilanesberg International Airport
node1fltibbuex22120560,Basankusu Airport
node1fltibbuex24639984,Florence Peretola Airport
node1fltibbuex42659178,Waterkloof Air Force Base Airport
node1fltibbuex43146159,Augusto Severo International Airport
node1fltibbuex44901000,Kagoshima Airport
node1fltibbuex44901012,Napakiak Airport
node1fltibbuex47341446,Adirondack Regl
node1fltibbuex53108766,Cachoeiro do Itapemirim Airport
node1fltibbuex55300224,Fleming-Mason Airport
node1fltibbuex58295224,Ust-Tsylma Airport
node1fltibbuex63820158,Kortrijk-Wevelgem
node1fltibbuex63984866,Kauehi Airport
node1fltibgk9x11285483,Seoul Airbase
node1fltibgk9x16706964,Curuzu Cuatia Airport
node1fltibgk9x21921566,RMAF Butterworth
node1fltibjtpx11157732,Martha's Vineyard Airport
node1fltibjtpx16259856,Fuvahmulah Airport
node1fltibjtpx16417051,Njombe Airport
node1fltibjtpx16438585,Kalumburu Airport
node1fltibjtpx19315076,Porto International Airport
node1fltibjtpx21840149,Brownsville/South Padre Island International Airport
node1fltibjtpx42477390,Augusto Severo International Airport
node1fltibjtpx47285645,Mannheim City
node1fltibjtpx53042085,Shanghai Pudong International Airport
node1fltibjtpx56035730,Arezzo Airport
node1fltibjtpx58645161,Dimbokro Airport
node1fltibjtpx61220079,Darwaz Airport
node1fltibjtpx63662507,Dschang Airport
node1fltibk0ux11148750,Ternopil International Airport
node1fltibk0ux11228243,Piedras Negras International Airport
node1fltibk0ux21822468,Biarritz - Anglet - Bayonne Airport
node1fltibk0ux36932855,Gunsan
node1fltibk0ux43389140,Newark Liberty International
node1fltibk0ux47190844,Rickenbacker Intl
node1fltibk0ux52963482,Nakhchivan Airport
node1fltibk0ux53288557,Castres-Mazamet Airport
node1fltibk0ux57462877,San Francisco Intl
node1fltibk0ux58364575,Hasvik Airport
node1fltibk0ux62866904,Wiener Neustadt Ost
node1fltibk8sx11072662,João Durval Carneiro Airport
node1fltibk8sx11172791,Jalalabad Airport
node1fltibk8sx11172811,Pohang Airport
node1fltibk8sx11173018,Undara Airport
node1fltibk8sx16448934,Luau Airport
node1fltibk8sx21553860,Ignatyevo Airport
node1fltibk8sx21553864,Bowerman Airport
node1fltibk8sx21602191,Zhoushan Airport
node1fltibk8sx21602195,"Szczecin-Goleniów ""Solidarność"" Airport"
node1fltibk8sx21954899,Harrisburg-Raleigh Airport
node1fltibk8sx24459572,Nice Cote d'Azur Airport
node1fltibk8sx24748135,Leeds Bradford Airport
node1fltibk8sx57850179,Fazenda São Braz Airport
node1fltibk8sx57975416,Videira Airport
node1fltibk8sx58154477,Komsomolsk-on-Amur Airport
node1fltibk8sx62605481,Brooksville - Tampa Bay Regional
node1fltibk8sx63521416,Wiley Post
node1fltibko7x11118097,Pouso Alegre Airport
node1fltibko7x11211372,San Bernardino International Airport
node1fltibko7x11240974,Francisco Carle Airport
node1fltibko7x14133064,
node1fltibko7x14133064,Girona-Costa Brava Airport
node1fltibko7x16470475,Pasir Pangaraan Airport
node1fltibko7x21611495,Sukhumi Dranda Airport
node1fltibko7x42103574,Altus/Quartz Mountain Regional Airport
node1fltibko7x42103583,Tian Yang Air Base
node1fltibko7x42314652,Asaloyeh Airport
node1fltibko7x42314659,Terrell Municipal Airport
node1fltibko7x42336869,Aswan International Airport
node1fltibko7x42606090,Aleknagik / New Airport
node1fltibko7x48401033,Orlando Intl
node1fltibko7x58097128,Ramata Airport
node1fltibko7x62713599,Exeter
node1fltibl28x11003657,Fairfield County Airport
node1fltibl28x11003704,Bauru - Arealva Airport
node1fltibl28x11170512,Saumlaki Airport
node1fltibl28x63285242,Los Angeles Intl
node1fltibl28x64169166,Kinston Regl Jetport At Stalli
node1fltibl28x80014353,Keflavik
